nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Laverne Clark,Welterweight,Male,180.34,184.97,170.0,3365
Laverne Clark,Peso_Pactado,Male,180.34,184.97,170.0,3365
Sanae Kikuta,Peso_Pactado,Male,175.26,180.12,200.0,1446
Ron Waterman,Peso_Pactado,Male,187.96,192.54,280.0,3387
Ron Waterman,Error,Male,187.96,192.54,280.0,3387
Ikuhisa Minowa,Error,Male,175.26,180.12,181.0,1448
Scott Adams,Heavyweight,Male,182.88,187.08,225.0,1449
Tedd Williams,Error,Male,185.42,190.13,275.0,3366
Tedd Williams,Peso_Pactado,Male,185.42,190.13,275.0,3366
Bob Cook,Welterweight,Male,175.26,180.12,170.0,1451
Lance Gibson,Middleweight,Male,175.26,180.12,185.0,3354
Lance Gibson,Error,Male,175.26,180.12,185.0,3354
Kenichi Yamamoto,Welterweight,Male,182.88,187.08,170.0,3355
Kenichi Yamamoto,Error,Male,182.88,187.08,170.0,3355
Joe Slick,Error,Male,182.88,187.08,199.0,3374
Katsuhisa Fujii,Error,Male,182.88,187.08,205.0,3379
Brad Kohler,Error,Male,175.26,180.12,220.0,3416
Brad Kohler,Peso_Pactado,Male,175.26,180.12,220.0,3416
John Lewis,Error,Male,182.88,187.08,155.0,3358
Frank Shamrock,Error,Male,177.8,182.42,185.0,1458
Frank Shamrock,Middleweight,Male,177.8,182.42,185.0,1458
Tim Lajcik,Peso_Pactado,Male,185.42,190.13,225.0,3363
Tim Lajcik,Error,Male,185.42,190.13,225.0,3363
Tim Lajcik,Heavyweight,Male,185.42,190.13,225.0,3363
Tsuyoshi Kohsaka,Peso_Pactado,Male,180.34,184.97,225.0,3333
Tsuyoshi Kohsaka,Heavyweight,Male,180.34,184.97,225.0,3333
Tsuyoshi Kohsaka,Error,Male,180.34,184.97,225.0,3333
Andre Roberts,Peso_Pactado,Male,187.96,192.54,345.0,3399
Andre Roberts,Error,Male,187.96,192.54,345.0,3399
Paul Jones,Error,Male,175.26,180.12,199.0,3383
Paul Jones,Peso_Pactado,Male,175.26,180.12,199.0,3383
Travis Fulton,Peso_Pactado,Male,182.88,187.08,240.0,3393
Travis Fulton,Error,Male,182.88,187.08,240.0,3393
Pete Williams,Peso_Pactado,Male,190.5,195.59,235.0,3336
Pete Williams,Error,Male,190.5,195.59,235.0,3336
Bas Rutten,Light heavyweight,Male,185.42,190.13,205.0,1465
Bas Rutten,Error,Male,185.42,190.13,205.0,1465
Marcelo Mello,Welterweight,Male,170.18,174.99,170.0,1466
Sione Latu,Peso_Pactado,Male,182.88,187.08,215.0,1467
Gary Goodridge,Error,Male,190.5,195.59,249.0,3445
Gary Goodridge,Peso_Pactado,Male,190.5,195.59,249.0,3445
Mikey Burnett,Welterweight,Male,167.64,171.26,170.0,3405
Mikey Burnett,Peso_Pactado,Male,167.64,171.26,170.0,3405
Ebenezer Fontes Braga,Peso_Pactado,Male,182.88,187.08,199.0,1470
Tulio Palhares,Error,Male,179.53,0.0,180.0,1471
David Abbott,Error,Male,182.88,187.08,265.0,3304
David Abbott,Peso_Pactado,Male,182.88,187.08,265.0,3304
Jerry Bohlander,Error,Male,180.34,184.97,199.0,3401
Jerry Bohlander,Peso_Pactado,Male,180.34,184.97,199.0,3401
Tra Telligman,Peso_Pactado,Male,187.96,192.54,233.0,3277
Tra Telligman,Error,Male,187.96,192.54,233.0,3277
Kazushi Sakuraba,Error,Male,182.88,187.08,185.0,1475
Alex Hunter,Error,Male,175.26,180.12,226.0,1476
Mark Kerr,Peso_Pactado,Male,190.5,195.59,266.0,1477
Mark Kerr,Error,Male,190.5,195.59,266.0,1477
Dwayne Cason,Peso_Pactado,Male,177.8,182.42,212.0,3420
Dwayne Cason,Error,Male,177.8,182.42,212.0,3420
Dave Beneteau,Peso_Pactado,Male,187.96,192.54,250.0,3466
Dave Beneteau,Error,Male,187.96,192.54,250.0,3466
Dave Beneteau,Heavyweight,Male,187.96,192.54,250.0,3466
Kevin Jackson,Error,Male,177.8,182.42,199.0,3415
Kevin Jackson,Peso_Pactado,Male,177.8,182.42,199.0,3415
Joe Moreira,Error,Male,180.34,184.97,195.0,3460
Joe Moreira,Peso_Pactado,Male,180.34,184.97,195.0,3460
Dan Bobish,Error,Male,187.96,192.54,345.0,3424
Dan Bobish,Peso_Pactado,Male,187.96,192.54,345.0,3424
Guy Mezger,Error,Male,185.42,190.13,200.0,3397
Enson Inoue,Peso_Pactado,Male,177.8,182.42,210.0,1484
Steven Graham,Peso_Pactado,Male,185.42,190.13,290.0,3435
Steven Graham,Error,Male,185.42,190.13,290.0,3435
Jack Nilson,Error,Male,179.53,0.0,178.95,1486
Scott Ferrozzo,Error,Male,180.34,184.97,323.0,3438
Scott Ferrozzo,Peso_Pactado,Male,180.34,184.97,323.0,3438
Yoshiki Takahashi,Error,Male,180.34,184.97,199.0,1488
Don Frye,Error,Male,185.42,190.13,219.0,3451
Don Frye,Peso_Pactado,Male,185.42,190.13,219.0,3451
Brian Johnston,Peso_Pactado,Male,190.5,195.59,230.0,3429
Brian Johnston,Error,Male,190.5,195.59,230.0,3429
Geza Kalman,Error,Male,185.42,190.13,200.0,1491
Dan Severn,Error,Male,187.96,192.54,250.0,3362
Dan Severn,Peso_Pactado,Male,187.96,192.54,250.0,3362
Dan Severn,Heavyweight,Male,187.96,192.54,250.0,3362
Steve Nelmark,Peso_Pactado,Male,182.88,187.08,240.0,3443
Mark Hall,Peso_Pactado,Male,182.88,187.08,190.0,3446
Mark Hall,Error,Male,182.88,187.08,190.0,3446
Cal Worsham,Peso_Pactado,Male,180.34,184.97,230.0,3442
Cal Worsham,Error,Male,180.34,184.97,230.0,3442
Rafael Carino,Peso_Pactado,Male,203.2,203.2,245.0,1496
Mark Schultz,Error,Male,175.26,180.12,200.0,1497
Paul Varelans,Error,Male,203.2,203.2,300.0,3444
Paul Varelans,Peso_Pactado,Male,203.2,203.2,300.0,3444
Oleg Taktarov,Heavyweight,Male,182.88,187.08,210.0,3465
Oleg Taktarov,Peso_Pactado,Male,182.88,187.08,210.0,3465
Oleg Taktarov,Error,Male,182.88,187.08,210.0,3465
Marco Ruas,Peso_Pactado,Male,185.42,190.13,210.0,3392
Marco Ruas,Heavyweight,Male,185.42,190.13,210.0,3392
Marco Ruas,Error,Male,185.42,190.13,210.0,3392
Remco Pardoel,Error,Male,190.5,195.59,260.0,3470
Remco Pardoel,Peso_Pactado,Male,190.5,195.59,260.0,3470
Scott Bessac,Peso_Pactado,Male,193.04,199.98,245.0,1502
Patrick Smith,Peso_Pactado,Male,187.96,192.54,225.0,3489
Patrick Smith,Error,Male,187.96,192.54,225.0,3489
Todd Medina,Error,Male,177.8,182.42,193.0,3476
Todd Medina,Peso_Pactado,Male,177.8,182.42,193.0,3476
Jon Hess,Peso_Pactado,Male,200.66,205.1,295.0,1505
Royce Gracie,Error,Male,185.42,190.13,175.0,3257
Royce Gracie,Peso_Pactado,Male,185.42,190.13,175.0,3257
Steve Jennum,Peso_Pactado,Male,177.8,182.42,215.0,3464
Steve Jennum,Error,Male,177.8,182.42,215.0,3464
Keith Hackney,Peso_Pactado,Male,180.34,184.97,200.0,3463
Keith Hackney,Error,Male,180.34,184.97,200.0,3463
Harold Howard,Error,Male,187.96,192.54,240.0,3468
Harold Howard,Peso_Pactado,Male,187.96,192.54,240.0,3468
Johnny Rhodes,Peso_Pactado,Male,182.88,187.08,210.0,3492
Johnny Rhodes,Error,Male,182.88,187.08,210.0,3492
Frank Hamaker,Error,Male,179.53,0.0,178.95,1511
Jason DeLucia,Error,Male,180.34,184.97,190.0,3380
Orlando Wiet,Peso_Pactado,Male,177.8,182.42,170.0,3491
Orlando Wiet,Error,Male,177.8,182.42,170.0,3491
Scott Morris,Peso_Pactado,Male,177.8,182.42,210.0,3490
Gustavo Lopez,Bantamweight,Male,165.1,170.18,135.0,1515
Roman Dolidze,Error,Male,187.96,193.04,205.0,1516
Roman Dolidze,Light heavyweight,Male,187.96,193.04,205.0,1516
Harry Hunsucker,Peso_Pactado,Male,187.96,190.5,241.0,1517
Montserrat Conejo,Strawweight,Women,152.4,154.94,115.0,1518
Macy Chiasson,Bantamweight,Women,180.34,182.88,135.0,1519
Macy Chiasson,Error,Women,180.34,182.88,135.0,1519
Grant Dawson,Peso_Pactado,Male,177.8,182.88,145.0,1520
Grant Dawson,Featherweight,Male,177.8,182.88,145.0,1520
Max Griffin,Welterweight,Male,180.34,193.04,170.0,1521
Kevin Holland,Middleweight,Male,190.5,205.74,185.0,1522
Kevin Holland,Peso_Pactado,Male,190.5,205.74,185.0,1522
Jesse Strader,Bantamweight,Male,170.18,177.8,135.0,1523
JP Buys,Peso_Pactado,Male,165.1,170.18,125.0,1524
Matheus Nicolau,Flyweight,Male,167.64,167.64,125.0,1525
Matheus Nicolau,Peso_Pactado,Male,167.64,167.64,125.0,1525
Ryan Spann,Light heavyweight,Male,195.58,200.66,205.0,1526
Ryan Spann,Peso_Pactado,Male,195.58,200.66,205.0,1526
Belal Muhammad,Welterweight,Male,180.34,182.88,170.0,1527
Marcelo Rojo,Featherweight,Male,172.72,180.34,145.0,1528
Darren Stewart,Middleweight,Male,182.88,187.96,185.0,1529
Darren Stewart,Error,Male,182.88,187.96,185.0,1529
Darren Stewart,Peso_Pactado,Male,182.88,187.96,185.0,1529
Ashley Yoder,Strawweight,Women,170.18,175.26,115.0,1530
Ashley Yoder,Error,Women,170.18,175.26,115.0,1530
Ashley Yoder,Peso_Pactado,Women,170.18,175.26,115.0,1530
Davey Grant,Bantamweight,Male,172.72,175.26,135.0,1531
Davey Grant,Peso_Pactado,Male,172.72,175.26,135.0,1531
Davey Grant,Error,Male,172.72,175.26,135.0,1531
Gavin Tucker,Featherweight,Male,167.64,167.64,145.0,1532
Gavin Tucker,Error,Male,167.64,167.64,145.0,1532
Rafa Garcia,Lightweight,Male,170.18,177.8,155.0,1533
JJ Aldrich,Flyweight,Women,165.1,170.18,125.0,1534
JJ Aldrich,Peso_Pactado,Women,165.1,170.18,125.0,1534
JJ Aldrich,Error,Women,165.1,170.18,125.0,1534
Jason Witt,Welterweight,Male,177.8,177.8,170.0,1535
Ray Rodriguez,Bantamweight,Male,170.18,177.8,135.0,1536
Ray Rodriguez,Peso_Pactado,Male,170.18,177.8,135.0,1536
Jinh Yu Frey,Strawweight,Women,160.02,165.1,115.0,1537
Casey Kenney,Error,Male,170.18,172.72,140.0,1538
Casey Kenney,Lightweight,Male,170.18,172.72,140.0,1538
Kyler Phillips,Peso_Pactado,Male,172.72,182.88,135.0,1539
Kyler Phillips,Bantamweight,Male,172.72,182.88,135.0,1539
Aljamain Sterling,Bantamweight,Male,170.18,180.34,135.0,1540
Aljamain Sterling,Error,Male,170.18,180.34,135.0,1540
Israel Adesanya,Peso_Pactado,Male,193.04,203.2,185.0,1541
Israel Adesanya,Middleweight,Male,193.04,203.2,185.0,1541
Aleksandar Rakic,Light heavyweight,Male,193.04,198.12,205.0,1542
Askar Askarov,Flyweight,Male,167.64,170.18,125.0,1543
Megan Anderson,Featherweight,Women,182.88,182.88,145.0,1544
Megan Anderson,Peso_Pactado,Women,182.88,182.88,145.0,1544
Megan Anderson,Error,Women,182.88,182.88,145.0,1544
Drew Dober,Lightweight,Male,172.72,177.8,155.0,1545
Drew Dober,Error,Male,172.72,177.8,155.0,1545
Drew Dober,Peso_Pactado,Male,172.72,177.8,155.0,1545
Jordan Espinosa,Flyweight,Male,167.64,175.26,125.0,1546
Jordan Espinosa,Error,Male,167.64,175.26,125.0,1546
Amanda Lemos,Strawweight,Women,162.56,165.1,115.0,1547
Amanda Lemos,Error,Women,162.56,165.1,115.0,1547
Amanda Lemos,Peso_Pactado,Women,162.56,165.1,115.0,1547
Kai Kara-France,Flyweight,Male,162.56,175.26,125.0,1548
Kai Kara-France,Error,Male,162.56,175.26,125.0,1548
Aalon Cruz,Peso_Pactado,Male,182.88,198.12,145.0,1549
Aalon Cruz,Featherweight,Male,182.88,198.12,145.0,1549
Carlos Ulberg,Light heavyweight,Male,193.04,195.58,205.0,1550
Jake Matthews,Welterweight,Male,180.34,185.42,170.0,1551
Jake Matthews,Peso_Pactado,Male,180.34,185.42,170.0,1551
Trevin Jones,Error,Male,170.18,177.8,140.0,1552
Ciryl Gane,Error,Male,193.04,205.74,245.0,1553
Mayra Bueno Silva,Error,Women,167.64,167.64,135.0,1554
Mayra Bueno Silva,Peso_Pactado,Women,167.64,167.64,135.0,1554
Ronnie Lawrence,Peso_Pactado,Male,172.72,172.72,135.0,1555
Thiago Moises,Lightweight,Male,175.26,177.8,155.0,1556
Jimmie Rivera,Bantamweight,Male,162.56,172.72,135.0,1557
Jimmie Rivera,Error,Male,162.56,172.72,135.0,1557
Kevin Croom,Error,Male,180.34,185.42,155.0,1558
Kevin Croom,Lightweight,Male,180.34,185.42,155.0,1558
Sabina Mazo,Bantamweight,Women,170.18,177.8,135.0,1559
Sabina Mazo,Peso_Pactado,Women,170.18,177.8,135.0,1559
Magomed Ankalaev,Light heavyweight,Male,190.5,190.5,205.0,1560
Magomed Ankalaev,Peso_Pactado,Male,190.5,190.5,205.0,1560
